Year,RegionID,Zipcode,City,State,Metro,CountyName,ZRI,lat,lon
2023,62074,11362,New York,NY,New York-Newark-Jersey City,Queens County,2948.8875,40.756632,-73.735333
2023,62075,11363,New York,NY,New York-Newark-Jersey City,Queens County,3269.09,40.772348,-73.746292
2023,62076,11364,New York,NY,New York-Newark-Jersey City,Queens County,2893.6575,40.745294,-73.760583
2023,62077,11365,New York,NY,New York-Newark-Jersey City,Queens County,3207.9425,40.739634,-73.79449
2023,62078,11366,New York,NY,New York-Newark-Jersey City,Queens County,3395.9875,40.728157,-73.785017
2023,62079,11367,New York,NY,New York-Newark-Jersey City,Queens County,2837.1125,40.730145,-73.82703
2023,62080,11368,New York,NY,New York-Newark-Jersey City,Queens County,2928.505,40.749737,-73.853045
2023,62081,11369,New York,NY,New York-Newark-Jersey City,Queens County,2928.505,40.763445,-73.872334
2023,62082,11370,New York,NY,New York-Newark-Jersey City,Queens County,2887.74,40.765393,-73.893191
2023,62084,11372,New York,NY,New York-Newark-Jersey City,Queens County,2850.92,40.751675,-73.883666
2023,62085,11373,New York,NY,New York-Newark-Jersey City,Queens County,2891.0275,40.738843,-73.878539
2023,62086,11374,New York,NY,New York-Newark-Jersey City,Queens County,2829.88,40.726467,-73.861515
2023,62087,11375,New York,NY,New York-Newark-Jersey City,Queens County,2818.045,40.720963,-73.84614
2023,62088,11377,New York,NY,New York-Newark-Jersey City,Queens County,2893,40.74482,-73.905161
2023,62089,11378,New York,NY,New York-Newark-Jersey City,Queens County,2897.6025,40.724744,-73.909639
2023,62090,11379,New York,NY,New York-Newark-Jersey City,Queens County,2943.6275,40.716753,-73.879598
2023,62093,11385,New York,NY,New York-Newark-Jersey City,Queens County,2896.945,40.700647,-73.889423
2023,62097,11411,New York,NY,New York-Newark-Jersey City,Queens County,3006.7475,40.694025,-73.736223
2023,62098,11412,New York,NY,New York-Newark-Jersey City,Queens County,2875.2475,40.698096,-73.75899
2023,62099,11413,New York,NY,New York-Newark-Jersey City,Queens County,2869.33,40.67117,-73.752063
2023,62100,11414,New York,NY,New York-Newark-Jersey City,Queens County,2826.5925,40.657604,-73.844804
2023,62101,11415,New York,NY,New York-Newark-Jersey City,Queens County,2789.115,40.707896,-73.828297
2023,62102,11416,New York,NY,New York-Newark-Jersey City,Queens County,2814.1,40.684625,-73.849582
2023,62103,11417,New York,NY,New York-Newark-Jersey City,Queens County,2824.62,40.676434,-73.844467
2023,62104,11418,New York,NY,New York-Newark-Jersey City,Queens County,2817.3875,40.700203,-73.836012
2023,62105,11419,New York,NY,New York-Newark-Jersey City,Queens County,2810.8125,40.688638,-73.822942
2023,62106,11420,New York,NY,New York-Newark-Jersey City,Queens County,2814.1,40.673563,-73.817829
2023,62107,11421,New York,NY,New York-Newark-Jersey City,Queens County,2816.73,40.694062,-73.858626
2023,62108,11422,New York,NY,New York-Newark-Jersey City,Queens County,2837.1125,40.660065,-73.736012
2023,62109,11423,New York,NY,New York-Newark-Jersey City,Queens County,2896.2875,40.715608,-73.768493
2023,62112,11426,New York,NY,New York-Newark-Jersey City,Queens County,3016.61,40.736462,-73.722359
2023,62113,11427,New York,NY,New York-Newark-Jersey City,Queens County,2969.9275,40.730918,-73.745621
2023,62114,11428,New York,NY,New York-Newark-Jersey City,Queens County,2958.0925,40.721008,-73.742257
2023,62115,11429,New York,NY,New York-Newark-Jersey City,Queens County,2923.9025,40.709781,-73.738733
2023,62118,11432,New York,NY,New York-Newark-Jersey City,Queens County,2885.7675,40.715359,-73.793072
2023,62119,11433,New York,NY,New York-Newark-Jersey City,Queens County,2804.2375,40.698151,-73.786912
2023,62120,11434,New York,NY,New York-Newark-Jersey City,Queens County,2791.745,40.676808,-73.776425
2023,62121,11435,New York,NY,New York-Newark-Jersey City,Queens County,2769.39,40.701225,-73.809635
2023,62122,11436,New York,NY,New York-Newark-Jersey City,Queens County,2759.5275,40.675818,-73.796661
2023,62179,11691,New York,NY,New York-Newark-Jersey City,Queens County,2794.375,40.601261,-73.761646
2023,62180,11692,New York,NY,New York-Newark-Jersey City,Queens County,2762.815,40.594154,-73.791986
2023,62181,11693,New York,NY,New York-Newark-Jersey City,Queens County,2691.805,40.590916,-73.809715
2023,62182,11694,New York,NY,New York-Newark-Jersey City,Queens County,2891.0275,40.57827,-73.844762
2023,62184,11697,New York,NY,New York-Newark-Jersey City,Queens County,2884.4525,40.552684,-73.924526
